client_id,age,revenu_annuel_k,frequence_achat_mois,panier_moyen,score_engagement,sensibilite_promo,canal_prefere,region
C0000,26,25.7,3.67,29.58,65.4,70.0,mobile,urbain
C0001,33,85.9,4.49,130.27,88.9,37.1,web,urbain
C0002,40,25.0,1.24,98.6,81.0,57.0,mobile,urbain
C0003,46,51.1,5.37,94.15,56.2,48.5,web,urbain
C0004,24,20.6,3.02,29.02,92.2,90.8,web,urbain
C0005,29,25.1,5.63,48.47,59.6,80.1,mobile,urbain
C0006,35,47.3,2.12,48.76,64.2,77.1,mobile,urbain
C0007,39,67.0,4.87,136.24,82.1,17.1,magasin,rural
C0008,38,55.6,3.05,56.4,59.4,69.0,magasin,urbain
C0009,37,53.7,1.91,41.51,35.2,60.6,mobile,periurbain
C0010,33,18.7,3.72,27.47,64.2,82.5,mobile,urbain
C0011,47,71.6,5.44,98.46,88.2,45.3,magasin,urbain
C0012,44,78.3,4.97,116.86,84.7,26.1,magasin,rural
C0013,31,28.7,3.21,36.81,76.7,77.8,web,urbain
C0014,34,29.4,5.24,37.1,47.5,71.9,mobile,urbain
C0015,29,45.4,4.19,39.37,82.0,59.9,magasin,urbain
C0016,20,41.2,4.21,37.02,79.6,100.0,web,periurbain
C0017,39,39.5,3.35,58.59,59.0,54.3,magasin,rural
C0018,49,42.9,2.36,56.38,51.8,64.5,web,periurbain
C0019,34,42.8,4.3,64.52,62.7,69.6,mobile,periurbain
C0020,30,63.0,3.19,73.0,61.9,46.5,web,periurbain
C0021,30,37.8,4.38,44.69,62.5,86.7,mobile,urbain
C0022,39,27.9,2.61,40.49,72.7,92.9,mobile,urbain
C0023,28,28.6,2.59,22.14,81.9,82.7,mobile,urbain
C0024,40,64.7,2.37,46.94,54.6,56.7,web,periurbain
C0025,37,94.5,6.45,177.43,81.8,14.7,mobile,rural
C0026,44,32.5,3.82,41.71,74.4,80.6,mobile,urbain
C0027,42,42.6,1.96,75.92,54.4,78.0,web,periurbain
C0028,51,27.3,2.29,67.31,38.3,50.7,magasin,periurbain
C0029,35,42.2,4.67,28.45,65.7,86.9,web,urbain
C0030,40,44.3,3.24,82.0,52.9,73.9,magasin,urbain
C0031,33,29.5,4.19,26.99,83.1,80.2,web,urbain
C0032,25,20.7,1.93,49.27,56.6,99.5,mobile,urbain
C0033,41,80.3,4.06,151.97,83.7,41.2,magasin,periurbain
C0034,36,81.0,4.91,78.14,73.2,36.9,mobile,rural
C0035,39,88.3,4.06,110.76,85.6,16.3,web,periurbain
C0036,35,35.8,4.11,53.79,92.0,92.1,mobile,periurbain
C0037,18,21.8,3.05,42.31,78.2,74.7,mobile,urbain
C0038,38,33.9,1.77,49.67,44.3,72.6,magasin,periurbain
C0039,45,49.8,1.83,86.61,49.9,61.5,web,periurbain
C0040,36,26.4,3.76,63.25,64.5,100.0,mobile,periurbain
C0041,46,57.7,3.16,45.74,47.8,57.0,magasin,urbain
C0042,29,37.0,4.01,25.98,76.6,88.1,web,urbain
C0043,46,90.3,4.53,79.87,87.4,30.5,web,periurbain
C0044,23,40.4,3.75,50.18,72.3,82.3,mobile,periurbain
C0045,43,43.4,2.21,68.43,61.1,54.3,web,periurbain
C0046,28,28.5,5.54,44.36,84.4,67.1,web,urbain
C0047,43,58.7,2.13,99.37,90.2,55.6,magasin,rural
C0048,39,62.5,4.02,64.59,52.1,56.6,web,urbain
C0049,23,25.9,3.76,44.81,90.6,72.0,mobile,rural
C0050,47,78.1,4.55,161.62,75.0,32.6,magasin,urbain
C0051,40,90.9,4.89,223.94,78.9,21.6,web,urbain
C0052,34,103.4,6.02,118.02,77.3,33.7,magasin,urbain
C0053,41,54.7,6.15,200.86,79.1,23.3,magasin,rural
C0054,44,51.3,3.19,110.18,55.5,50.4,web,urbain
C0055,39,114.3,4.08,145.83,83.9,42.3,magasin,periurbain
C0056,26,40.4,4.62,64.16,79.0,78.4,web,urbain
C0057,34,36.1,5.08,56.03,88.6,88.5,mobile,periurbain
C0058,28,33.2,5.25,32.2,76.4,78.1,web,urbain
C0059,30,32.4,2.17,50.96,79.7,100.0,web,urbain
C0060,44,63.8,2.51,79.02,66.5,62.2,mobile,rural
C0061,26,33.6,5.09,29.68,73.6,75.0,mobile,urbain
C0062,35,88.8,6.17,135.7,79.6,50.6,web,rural
C0063,20,18.0,4.33,35.98,59.7,89.1,mobile,urbain
C0064,21,39.0,4.58,40.81,94.2,71.3,mobile,urbain
C0065,42,50.4,2.38,80.34,40.5,77.3,magasin,periurbain
C0066,31,35.7,4.48,47.37,79.7,95.3,mobile,urbain
C0067,41,94.8,4.51,188.4,78.6,49.6,web,urbain
C0068,30,26.6,4.81,34.17,66.6,63.1,mobile,urbain
C0069,35,40.0,3.02,164.61,90.3,33.1,magasin,urbain
C0070,31,81.1,4.6,97.46,96.0,38.5,magasin,urbain
C0071,30,18.0,3.5,33.82,60.0,79.2,mobile,urbain
C0072,26,36.6,5.48,53.1,72.7,75.5,web,periurbain
C0073,46,93.4,5.65,119.27,94.5,30.4,magasin,periurbain
C0074,54,50.0,2.01,65.29,53.5,65.1,magasin,periurbain
C0075,46,42.3,2.58,112.56,82.2,65.2,web,rural
C0076,39,84.2,5.21,102.2,81.9,8.0,magasin,periurbain
C0077,26,44.6,2.33,24.43,74.7,92.5,mobile,periurbain
C0078,35,31.7,3.59,52.6,79.8,66.2,magasin,urbain
C0079,38,43.0,3.05,46.75,77.9,84.6,mobile,urbain
C0080,39,103.1,5.14,125.03,90.2,0.0,web,periurbain
C0081,39,36.8,1.43,94.89,51.5,64.2,magasin,periurbain
C0082,29,21.7,5.0,36.07,53.3,77.7,mobile,periurbain
C0083,27,29.2,3.41,66.92,76.6,86.3,mobile,periurbain
C0084,27,30.4,3.71,41.55,80.7,82.5,mobile,urbain
C0085,33,31.4,3.89,18.02,83.0,85.5,mobile,urbain
C0086,57,46.6,3.6,55.28,66.6,47.4,magasin,urbain
C0087,38,67.1,2.43,77.91,70.2,65.9,magasin,periurbain
C0088,58,81.0,4.8,174.77,92.8,42.2,web,periurbain
C0089,53,36.5,2.87,60.42,57.1,63.9,magasin,rural
C0090,39,35.6,3.51,53.57,86.3,69.7,web,periurbain
C0091,40,61.8,2.46,76.26,55.6,60.2,web,periurbain
C0092,52,66.8,3.61,62.63,78.9,12.1,web,urbain
C0093,53,58.1,1.98,114.54,71.7,56.1,web,periurbain
C0094,28,52.4,5.62,223.39,95.1,34.8,magasin,periurbain
C0095,47,50.8,2.69,72.87,47.4,56.6,web,urbain
C0096,35,37.0,2.76,99.06,70.9,41.2,magasin,urbain
C0097,35,45.8,3.1,56.57,59.5,44.0,magasin,urbain
C0098,19,35.5,3.78,48.63,74.7,95.6,mobile,urbain
C0099,30,36.3,3.86,42.49,63.6,75.4,mobile,urbain
C0100,22,26.5,2.94,52.74,68.5,94.5,web,urbain
C0101,36,69.5,1.53,79.58,66.9,65.0,web,urbain
C0102,29,30.8,4.96,68.53,65.3,68.3,mobile,urbain
C0103,36,64.4,4.11,64.04,66.0,79.5,web,urbain
C0104,34,63.7,3.95,95.16,84.3,18.8,mobile,rural
C0105,30,19.6,4.2,52.0,48.1,85.7,mobile,urbain
C0106,54,52.2,1.97,73.0,65.8,60.9,mobile,periurbain
C0107,40,56.6,4.49,106.36,78.1,42.8,magasin,periurbain
C0108,22,29.5,5.26,43.7,99.8,85.9,mobile,periurbain
C0109,30,30.8,4.65,53.48,62.6,68.7,mobile,rural
C0110,18,36.1,2.48,16.17,76.7,100.0,magasin,urbain
C0111,29,31.2,4.9,38.52,75.2,85.2,web,urbain
C0112,38,68.4,5.14,106.55,84.2,27.9,magasin,rural
C0113,39,96.7,5.99,157.52,84.1,12.3,web,urbain
C0114,38,46.1,2.65,83.53,57.0,65.8,web,periurbain
C0115,31,79.4,3.39,159.0,96.2,42.6,web,urbain
C0116,37,108.8,4.75,126.2,79.1,24.4,magasin,urbain
C0117,30,32.0,4.32,56.29,83.4,67.2,mobile,urbain
C0118,28,78.0,3.43,74.93,88.3,37.1,magasin,urbain
C0119,38,25.0,2.11,81.05,37.3,62.2,mobile,urbain
C0120,39,92.4,4.72,103.94,93.6,26.1,mobile,urbain
C0121,35,66.1,4.43,197.91,73.0,8.6,magasin,periurbain
C0122,25,40.3,3.07,63.91,80.1,77.1,mobile,periurbain
C0123,42,27.2,4.69,45.59,87.6,97.6,mobile,urbain
C0124,32,26.6,6.22,43.64,67.6,83.8,mobile,urbain
C0125,33,38.3,3.68,62.18,43.3,66.4,mobile,urbain
C0126,48,94.9,5.6,111.51,72.6,46.0,web,urbain
C0127,50,92.0,5.06,213.78,78.9,39.1,magasin,periurbain
C0128,38,36.1,4.45,54.87,67.6,73.6,magasin,urbain
C0129,35,28.3,4.45,54.14,54.9,56.7,magasin,periurbain
C0130,48,42.2,2.45,79.09,54.5,79.3,magasin,periurbain
C0131,33,41.4,4.02,26.44,76.8,75.5,web,urbain
C0132,36,32.2,4.17,62.43,74.9,100.0,mobile,urbain
C0133,34,35.0,5.35,50.08,70.3,69.8,mobile,urbain
C0134,37,66.7,4.02,158.6,97.4,32.7,magasin,urbain
C0135,36,27.1,3.64,42.18,62.6,88.5,magasin,urbain
C0136,36,43.6,3.25,67.29,82.2,55.2,magasin,periurbain
C0137,32,30.4,1.23,96.73,50.3,90.7,magasin,urbain
C0138,38,48.0,6.27,56.5,84.3,87.9,mobile,periurbain
C0139,32,81.9,4.43,122.14,89.6,39.5,magasin,periurbain
C0140,30,78.5,3.88,72.67,83.3,26.5,magasin,periurbain
C0141,23,46.8,5.27,48.99,69.3,72.4,web,urbain
C0142,55,63.4,2.16,53.85,60.0,38.8,web,rural
C0143,26,19.2,4.42,35.61,58.0,53.3,mobile,urbain
C0144,29,46.2,5.79,36.51,64.8,86.7,mobile,urbain
C0145,34,41.8,3.68,39.56,61.5,73.7,magasin,urbain
C0146,48,40.0,3.94,69.12,57.7,51.0,mobile,urbain
C0147,28,56.8,3.26,68.94,58.9,66.2,magasin,urbain
C0148,20,27.8,4.75,26.95,75.5,68.4,mobile,rural
C0149,19,41.3,2.92,32.28,74.4,93.5,mobile,urbain
C0150,42,94.5,4.78,125.15,77.4,29.0,magasin,urbain
C0151,32,39.2,0.96,29.88,79.4,100.0,mobile,urbain
C0152,28,43.0,3.02,32.41,66.2,72.5,web,urbain
C0153,44,45.5,2.34,45.86,70.4,59.1,web,periurbain
C0154,41,68.5,4.17,178.2,84.9,10.7,web,periurbain
C0155,40,40.6,3.26,57.37,72.8,90.5,mobile,urbain
C0156,37,58.3,2.3,66.73,44.6,65.1,web,periurbain
C0157,39,107.4,4.52,153.83,75.5,33.1,magasin,urbain
C0158,36,52.7,4.5,45.91,74.3,78.5,mobile,periurbain
C0159,43,61.2,1.69,94.52,76.4,58.6,web,periurbain
C0160,37,31.8,2.6,35.94,82.1,87.5,mobile,urbain
C0161,39,38.8,4.05,68.2,75.0,78.3,web,rural
C0162,45,47.8,1.79,79.84,41.5,74.3,magasin,urbain
C0163,44,45.4,3.13,65.45,70.2,43.8,magasin,periurbain
C0164,23,26.6,4.42,44.15,76.2,86.9,web,urbain
C0165,42,77.7,5.27,204.5,82.9,16.3,magasin,rural
C0166,18,38.8,3.16,40.91,76.0,83.9,mobile,periurbain
C0167,32,29.9,4.69,49.38,60.8,92.9,web,urbain
C0168,31,46.7,3.53,37.81,71.8,79.0,mobile,urbain
C0169,35,37.3,3.46,104.79,56.5,58.0,magasin,urbain
C0170,42,59.6,1.77,78.29,71.7,66.0,magasin,periurbain
C0171,18,37.4,3.02,20.03,78.1,95.7,web,urbain
C0172,53,61.1,4.08,87.36,59.1,40.8,mobile,periurbain
C0173,42,30.6,3.95,48.62,72.5,99.0,mobile,urbain
C0174,37,34.8,2.05,73.33,52.0,51.7,magasin,periurbain
C0175,21,31.3,1.99,51.12,73.0,67.4,mobile,urbain
C0176,40,40.5,2.89,98.13,31.7,61.4,magasin,periurbain
C0177,43,40.5,2.31,59.67,73.1,60.3,web,periurbain
C0178,33,54.8,2.8,82.56,86.1,34.1,magasin,urbain
C0179,26,33.2,5.73,52.76,68.8,73.1,mobile,urbain
C0180,28,24.1,3.64,42.92,69.3,75.5,magasin,urbain
C0181,22,43.3,3.68,42.23,80.5,84.3,mobile,periurbain
C0182,34,88.5,3.46,141.8,83.7,25.5,web,urbain
C0183,35,83.7,4.76,102.03,94.1,17.6,magasin,rural
C0184,25,46.2,2.37,53.03,84.0,75.3,mobile,periurbain
C0185,44,50.6,2.48,88.59,69.1,39.0,web,periurbain
C0186,47,102.3,3.51,123.62,75.2,25.4,magasin,urbain
C0187,51,62.0,2.09,70.23,34.4,50.3,magasin,periurbain
C0188,33,42.1,2.58,79.04,46.7,65.1,web,urbain
C0189,32,32.1,3.28,40.68,70.9,78.3,mobile,urbain
C0190,27,44.8,4.47,38.45,80.4,78.7,mobile,periurbain
C0191,38,90.1,3.03,98.56,74.4,29.7,magasin,periurbain
C0192,44,91.0,2.8,119.01,77.7,20.5,mobile,urbain
C0193,28,55.5,1.63,78.31,87.0,49.0,web,periurbain
C0194,36,47.7,2.32,47.96,66.4,80.9,mobile,urbain
C0195,31,35.7,5.1,43.18,75.7,78.1,mobile,periurbain
C0196,46,44.3,2.94,73.47,73.8,59.4,magasin,periurbain
C0197,32,70.2,4.0,186.11,66.9,65.7,magasin,rural
C0198,39,87.1,5.12,160.58,88.4,29.1,web,urbain
C0199,37,102.4,5.19,40.0,89.2,30.3,mobile,urbain
C0200,50,57.5,1.9,81.33,44.4,43.4,magasin,urbain
C0201,35,36.1,4.67,48.19,64.3,86.3,web,periurbain
C0202,36,37.7,4.22,54.84,71.7,73.2,mobile,urbain
C0203,34,79.4,3.81,127.22,68.9,30.6,mobile,periurbain
C0204,47,57.4,1.15,60.27,47.2,48.7,magasin,rural
C0205,34,30.4,3.48,17.95,79.6,69.6,magasin,urbain
C0206,37,21.5,0.5,44.21,93.6,94.4,mobile,urbain
C0207,48,38.3,3.03,83.1,72.8,93.1,mobile,rural
C0208,29,18.0,2.97,37.09,65.7,83.5,web,urbain
C0209,29,31.9,3.41,43.86,81.9,73.3,mobile,urbain
C0210,33,39.8,2.17,89.74,61.7,62.3,web,rural
C0211,45,47.0,2.84,63.51,23.9,58.4,magasin,periurbain
C0212,49,60.4,2.68,77.55,49.4,56.2,magasin,periurbain
C0213,28,28.4,3.8,49.21,54.7,59.0,mobile,urbain
C0214,38,46.5,2.19,100.14,62.6,63.6,web,periurbain
C0215,35,31.4,4.6,29.14,53.4,90.2,mobile,urbain
C0216,24,41.0,2.37,61.71,61.2,88.4,web,urbain
C0217,38,46.4,2.64,55.96,68.4,53.8,mobile,periurbain
C0218,40,38.1,0.4,70.56,91.8,69.4,mobile,periurbain
C0219,39,91.8,3.42,177.0,89.7,36.6,magasin,rural
C0220,47,53.9,2.28,63.68,59.4,78.6,web,periurbain
C0221,43,48.5,2.76,78.39,54.9,77.9,web,urbain
C0222,28,18.9,3.59,61.94,72.3,84.3,magasin,urbain
C0223,21,27.1,3.35,38.19,87.4,87.6,mobile,urbain
C0224,32,41.1,5.7,29.82,62.3,69.4,magasin,urbain
C0225,35,31.4,3.42,43.82,62.0,100.0,mobile,rural
C0226,26,85.3,6.62,138.24,82.5,23.7,magasin,urbain
C0227,28,63.3,1.32,69.2,52.0,67.1,magasin,urbain
C0228,26,90.3,6.62,90.29,85.5,20.1,magasin,urbain
C0229,45,48.2,2.02,82.78,83.3,57.7,web,periurbain
C0230,31,90.5,6.08,150.45,81.5,28.0,mobile,urbain
C0231,33,54.0,3.39,65.86,51.4,63.2,web,urbain
C0232,57,45.5,2.28,62.34,68.4,57.8,magasin,urbain
C0233,37,61.2,3.88,63.19,31.9,72.1,magasin,urbain
C0234,18,39.1,2.35,50.77,72.2,72.5,mobile,urbain
C0235,39,54.9,2.7,84.52,85.7,41.2,web,periurbain
C0236,24,21.4,3.57,53.06,70.5,97.1,mobile,urbain
C0237,21,34.9,4.86,36.95,40.7,84.0,web,periurbain
C0238,51,37.3,3.21,95.47,33.1,63.8,web,urbain
C0239,31,28.1,2.99,42.41,59.0,71.1,mobile,urbain
C0240,44,61.3,5.27,154.19,70.2,19.9,web,periurbain
C0241,35,90.3,5.38,129.2,79.2,45.1,magasin,periurbain
C0242,40,67.5,3.77,156.29,87.3,44.8,magasin,urbain
C0243,33,20.0,5.06,30.02,67.4,84.5,mobile,urbain
C0244,33,30.5,4.44,52.65,68.2,100.0,magasin,urbain
C0245,44,89.6,5.44,116.4,79.5,14.8,web,rural
C0246,45,55.8,3.01,104.14,57.9,68.0,web,urbain
C0247,45,97.3,4.31,135.49,71.9,23.7,magasin,rural
C0248,43,82.9,4.61,114.89,89.6,33.1,web,rural
C0249,25,101.7,4.12,107.8,89.5,23.3,magasin,periurbain
C0250,33,21.1,5.25,45.14,67.6,83.4,mobile,urbain
C0251,35,34.5,1.23,94.03,49.2,78.4,mobile,rural
C0252,35,51.3,3.48,181.25,82.8,21.4,magasin,periurbain
