attack_vector,attack_complexity,privileges_required,user_interaction,scope,confidentiality_impact,integrity_impact,availability_impact,epss_score,exploit_maturity,days_since_published,severity
network,low,high,none,unchanged,none,high,high,0.0757,poc,330,medium
network,high,none,none,unchanged,low,none,high,0.1925,poc,180,medium
network,low,none,required,changed,high,high,high,0.0702,unproven,143,critical
local,high,low,none,changed,low,low,none,0.3567,unproven,155,medium
network,low,none,none,unchanged,high,none,low,0.055,high,90,high
network,low,high,required,changed,none,high,none,0.2614,poc,22,medium
local,low,none,required,changed,none,low,low,0.1571,unproven,380,medium
local,low,none,required,changed,none,none,low,0.0658,functional,118,low
network,low,none,required,unchanged,low,high,none,0.0837,poc,94,medium
network,low,none,required,changed,high,high,low,0.1376,unproven,423,critical
network,low,low,none,changed,high,low,high,0.3535,unproven,98,critical
network,low,low,none,changed,high,low,high,0.2335,unproven,265,critical
network,low,none,required,unchanged,low,high,none,0.1071,functional,81,high
local,high,low,none,changed,low,low,high,0.0422,poc,736,medium
network,high,none,none,unchanged,high,low,low,0.126,unproven,215,medium
network,low,low,none,unchanged,high,low,none,0.1237,functional,299,medium
adjacent,low,none,none,changed,high,none,low,0.0346,poc,185,high
local,high,low,none,unchanged,high,low,high,0.0753,unproven,91,medium
network,low,none,none,unchanged,low,low,high,0.0609,functional,472,high
adjacent,low,none,none,changed,low,low,none,0.008,functional,32,medium
network,low,low,none,unchanged,low,low,high,0.247,unproven,430,high
network,low,low,none,changed,none,high,low,0.0252,functional,160,high
network,high,none,none,changed,high,none,none,0.0055,poc,59,high
network,low,low,required,unchanged,low,high,none,0.0157,unproven,328,medium
adjacent,high,none,none,changed,low,low,high,0.2664,unproven,212,medium
local,high,low,none,unchanged,none,none,high,0.0731,poc,724,medium
network,low,high,required,unchanged,high,high,low,0.0539,functional,171,medium
network,low,low,none,changed,low,low,high,0.0132,poc,86,critical
network,low,none,required,changed,low,none,high,0.1114,high,288,high
network,high,low,required,unchanged,low,low,high,0.033,poc,144,medium
adjacent,low,low,none,unchanged,high,none,none,0.0834,poc,57,medium
network,low,low,required,unchanged,high,low,low,0.0431,unproven,537,medium
adjacent,low,low,none,unchanged,high,high,high,0.0688,unproven,262,high
network,low,none,required,unchanged,low,low,low,0.1021,poc,241,medium
network,low,high,none,unchanged,high,low,none,0.1553,functional,217,medium
local,low,low,none,unchanged,high,high,high,0.0219,functional,189,high
adjacent,low,none,required,unchanged,low,low,high,0.0607,poc,177,high
local,high,none,none,unchanged,low,high,none,0.1899,functional,202,medium
