asset_id,asset_type,segment,business_criticality,data_sensitivity,internet_exposed,privileged_access,cvss_score,epss_score,known_exploited,kev_ransomware,kev_age_days,kev_overdue,patch_age_days,open_ports,failed_logins_7d,external_alerts_30d,edr_coverage,risk_score,risk_label
A00001,cloud_vm,server_lan,high,internal,0,0,6.2,0.315,0,0,0,0,406,4,4,3,full,32.4,medium
A00002,workstation,user_lan,high,public,0,0,9.0,0.328,0,0,0,0,131,3,6,3,full,21.0,low
A00003,cloud_vm,cloud,low,internal,1,0,6.4,0.198,0,0,0,0,51,8,13,3,full,33.4,medium
A00004,web_app,server_lan,low,confidential,1,0,7.4,0.596,0,0,0,0,449,10,17,2,full,54.7,high
A00005,server,dmz,medium,internal,1,0,6.0,0.338,0,0,0,0,420,8,17,9,full,61.3,high
A00006,firewall,user_lan,low,public,1,0,6.4,0.37,1,1,187,1,35,8,18,9,partial,78.3,critical
A00007,cloud_vm,cloud,medium,internal,1,1,7.8,0.501,0,0,0,0,614,12,15,7,partial,77.1,critical
A00008,cloud_vm,user_lan,critical,restricted,0,0,5.3,0.709,0,0,0,0,202,5,9,7,partial,47.4,medium
A00009,server,user_lan,low,internal,0,0,6.5,0.379,0,0,0,0,11,4,15,2,partial,33.8,medium
A00010,workstation,server_lan,medium,internal,1,0,4.4,0.351,0,0,0,0,457,2,19,1,full,28.1,medium
A00011,workstation,server_lan,high,public,1,1,5.1,0.412,0,0,0,0,34,7,23,7,full,54.2,high
A00012,firewall,user_lan,medium,internal,0,1,6.4,0.245,0,0,0,0,196,4,9,3,partial,44.3,medium
A00013,web_app,server_lan,low,confidential,1,0,5.2,0.213,0,0,0,0,63,9,19,3,full,31.2,medium
A00014,cloud_vm,cloud,low,confidential,1,1,6.8,0.222,0,0,0,0,242,13,23,1,full,42.5,medium
A00015,workstation,server_lan,critical,internal,1,1,5.2,0.184,0,0,0,0,16,4,17,2,full,50.2,medium
A00016,server,server_lan,low,restricted,1,0,6.9,0.119,0,0,0,0,235,10,18,3,partial,49.8,medium
A00017,database,user_lan,medium,internal,1,0,4.4,0.52,1,1,73,1,299,15,25,6,partial,100.0,critical
A00018,server,user_lan,high,restricted,1,1,7.6,0.273,0,0,0,0,321,10,20,3,full,76.9,critical
A00019,cloud_vm,user_lan,low,public,0,1,8.4,0.663,0,0,0,0,403,2,13,1,full,42.2,medium
A00020,web_app,user_lan,high,internal,0,0,7.4,0.358,0,0,0,0,15,3,14,1,full,19.9,low
A00021,cloud_vm,ot,low,restricted,0,0,7.1,0.593,0,0,0,0,610,1,10,2,none,53.0,high
A00022,workstation,cloud,low,restricted,0,0,6.6,0.565,0,0,0,0,24,2,9,1,full,16.6,low
A00023,firewall,cloud,medium,confidential,1,0,7.1,0.385,1,1,617,1,36,4,26,6,partial,81.0,critical
A00024,cloud_vm,user_lan,critical,confidential,1,1,6.2,0.1,0,0,0,0,46,9,23,4,partial,65.9,high
A00025,cloud_vm,user_lan,low,confidential,0,0,8.4,0.403,0,0,0,0,50,5,6,0,full,22.0,low
A00026,server,user_lan,low,confidential,1,0,8.1,0.284,0,0,0,0,141,13,29,4,full,58.4,high
A00027,database,user_lan,critical,internal,1,0,6.2,0.288,0,0,0,0,621,15,26,7,full,66.9,high
A00028,server,server_lan,low,internal,1,0,7.5,0.265,0,0,0,0,505,9,22,4,full,43.6,medium
A00029,server,user_lan,high,confidential,0,1,6.3,0.286,0,0,0,0,43,5,5,2,full,42.4,medium
A00030,web_app,dmz,high,confidential,1,1,6.7,0.153,0,0,0,0,56,7,25,4,none,88.5,critical
A00031,cloud_vm,dmz,medium,restricted,1,0,5.0,0.536,1,0,519,0,15,6,19,2,full,55.9,high
A00032,firewall,cloud,high,internal,1,1,6.0,0.358,0,0,0,0,34,9,20,1,full,75.0,critical
A00033,workstation,dmz,high,public,1,0,8.1,0.372,1,0,410,1,179,8,24,1,full,62.0,high
A00034,workstation,user_lan,low,public,1,0,6.6,0.258,0,0,0,0,28,9,19,5,full,26.5,medium
A00035,database,user_lan,critical,restricted,0,1,8.2,0.321,0,0,0,0,54,6,14,1,full,45.9,medium
A00036,server,server_lan,critical,public,1,0,7.0,0.243,0,0,0,0,517,4,22,3,full,67.9,high
A00037,server,cloud,critical,restricted,1,0,6.3,0.408,0,0,0,0,20,7,18,2,full,62.1,high
A00038,database,server_lan,medium,public,1,0,5.5,0.57,0,0,0,0,96,8,23,3,full,41.3,medium
A00039,server,cloud,medium,internal,1,1,5.1,0.308,0,0,0,0,497,8,30,3,full,48.1,medium
A00040,web_app,cloud,medium,confidential,1,1,4.0,0.163,0,0,0,0,25,8,27,2,full,29.9,medium
A00041,workstation,server_lan,low,internal,0,1,8.4,0.271,0,0,0,0,48,3,8,1,full,26.4,medium
A00042,cloud_vm,server_lan,medium,confidential,1,1,8.3,0.263,0,0,0,0,109,14,29,2,full,46.7,medium
A00043,web_app,server_lan,medium,public,0,0,4.5,0.244,0,0,0,0,17,6,10,0,full,4.6,low
A00044,workstation,server_lan,high,internal,1,0,5.7,0.277,0,0,0,0,55,7,20,2,full,33.5,medium
A00045,cloud_vm,server_lan,medium,confidential,1,1,6.4,0.19,0,0,0,0,109,5,16,1,full,54.1,high
A00046,cloud_vm,ot,medium,restricted,1,0,7.9,0.204,0,0,0,0,34,11,18,5,none,79.6,critical
A00047,workstation,server_lan,medium,public,0,1,6.1,0.327,1,1,524,1,30,4,6,4,partial,60.3,high
A00048,workstation,cloud,medium,internal,1,0,6.5,0.3,0,0,0,0,445,11,25,4,full,58.2,high
A00049,web_app,server_lan,critical,confidential,1,0,3.6,0.391,0,0,0,0,38,5,15,1,partial,59.8,high
A00050,server,ot,high,restricted,1,0,6.9,0.507,1,0,509,1,293,10,27,5,partial,100.0,critical
A00051,server,server_lan,low,restricted,1,1,4.9,0.121,0,0,0,0,3,7,18,3,full,55.4,high
A00052,server,user_lan,low,restricted,0,0,8.0,0.202,0,0,0,0,38,5,12,0,full,32.8,medium
A00053,cloud_vm,user_lan,high,internal,0,0,7.3,0.162,0,0,0,0,660,3,8,0,partial,30.4,medium
A00054,web_app,dmz,medium,confidential,1,1,5.3,0.173,0,0,0,0,29,13,21,5,full,49.2,medium
A00055,web_app,cloud,high,restricted,0,1,7.1,0.425,1,0,262,1,386,6,4,1,full,62.5,high
A00056,cloud_vm,server_lan,low,restricted,1,0,7.9,0.229,0,0,0,0,26,9,19,0,full,41.1,medium
A00057,workstation,user_lan,low,confidential,0,0,6.3,0.397,0,0,0,0,57,3,11,1,full,14.8,low
A00058,database,user_lan,medium,confidential,0,0,8.9,0.56,0,0,0,0,65,6,13,1,partial,30.2,medium
A00059,server,user_lan,high,restricted,0,1,6.1,0.309,0,0,0,0,44,6,13,0,partial,52.2,high
A00060,server,dmz,critical,public,0,1,5.1,0.227,0,0,0,0,216,3,4,3,full,30.5,medium
A00061,web_app,server_lan,critical,internal,0,0,9.2,0.453,1,1,346,0,16,4,11,3,none,86.2,critical
A00062,database,server_lan,medium,restricted,1,0,9.1,0.442,1,0,196,1,691,15,21,4,partial,100.0,critical
A00063,database,server_lan,high,internal,1,1,9.1,0.319,0,0,0,0,155,8,25,2,partial,89.8,critical
A00064,cloud_vm,server_lan,low,public,1,1,5.5,0.198,0,0,0,0,390,13,25,1,full,45.3,medium
A00065,web_app,ot,medium,internal,1,0,2.6,0.155,0,0,0,0,58,12,25,3,none,47.3,medium
A00066,database,user_lan,critical,confidential,0,1,5.8,0.416,0,0,0,0,11,11,7,1,partial,56.8,high
A00067,database,user_lan,medium,confidential,1,1,6.1,0.464,0,0,0,0,0,8,14,5,partial,75.7,critical
A00068,workstation,server_lan,critical,confidential,0,1,6.4,0.578,1,0,301,0,14,3,7,5,full,41.2,medium
A00069,server,server_lan,low,public,1,0,7.4,0.209,0,0,0,0,250,13,21,4,full,34.1,medium
A00070,workstation,user_lan,low,internal,1,1,8.1,0.258,0,0,0,0,0,8,14,0,full,49.9,medium
A00071,server,server_lan,medium,public,1,1,8.5,0.364,0,0,0,0,24,9,29,4,full,71.5,high
A00072,workstation,server_lan,critical,restricted,0,0,5.9,0.301,0,0,0,0,144,4,9,0,full,38.7,medium
A00073,cloud_vm,user_lan,medium,public,1,1,7.9,0.219,0,0,0,0,0,8,21,1,full,43.8,medium
A00074,server,user_lan,high,confidential,1,0,8.1,0.283,0,0,0,0,7,10,20,5,full,47.8,medium
A00075,server,ot,low,confidential,1,1,3.7,0.357,0,0,0,0,8,12,22,3,none,79.5,critical
A00076,workstation,server_lan,high,confidential,0,0,6.4,0.593,0,0,0,0,92,3,3,0,full,15.6,low
A00077,workstation,user_lan,medium,confidential,1,0,3.6,0.204,0,0,0,0,721,6,25,6,partial,81.8,critical
A00078,web_app,server_lan,low,confidential,0,1,4.7,0.37,0,0,0,0,277,8,7,2,full,44.7,medium
A00079,database,server_lan,high,confidential,1,0,7.2,0.455,0,0,0,0,290,10,21,1,full,53.4,high
A00080,cloud_vm,user_lan,high,public,1,0,7.1,0.176,0,0,0,0,10,6,20,10,full,52.4,high
A00081,web_app,server_lan,medium,internal,0,1,8.6,0.57,1,1,426,1,37,2,7,3,partial,55.6,high
A00082,workstation,user_lan,low,internal,0,1,7.4,0.179,1,0,177,1,40,5,3,4,partial,42.7,medium
A00083,cloud_vm,server_lan,low,internal,0,0,1.6,0.059,0,0,0,0,13,5,3,0,partial,8.3,low
A00084,server,dmz,critical,confidential,1,0,6.2,0.453,0,0,0,0,39,8,24,2,full,64.5,high
A00085,server,ot,high,internal,0,0,5.4,0.173,0,0,0,0,700,6,9,3,full,31.5,medium
A00086,server,server_lan,high,confidential,1,0,7.1,0.209,0,0,0,0,101,8,24,2,full,59.3,high
A00087,web_app,cloud,high,public,0,1,6.6,0.467,0,0,0,0,569,3,4,3,full,46.5,medium
A00088,database,server_lan,high,confidential,1,0,5.7,0.461,0,0,0,0,673,10,26,4,partial,67.7,high
A00089,server,ot,low,public,1,1,7.1,0.221,0,0,0,0,655,7,26,1,none,66.4,high
A00090,database,server_lan,medium,internal,1,1,4.1,0.393,0,0,0,0,367,7,21,1,partial,63.4,high
A00091,server,server_lan,high,internal,0,0,6.1,0.225,0,0,0,0,24,3,9,0,full,18.2,low
A00092,web_app,cloud,low,confidential,0,1,6.6,0.749,1,0,338,1,33,6,14,2,partial,73.4,critical
A00093,workstation,server_lan,low,public,0,0,8.3,0.174,0,0,0,0,26,1,11,0,partial,2.2,low
A00094,workstation,server_lan,medium,confidential,1,1,6.9,0.179,0,0,0,0,260,7,26,2,full,53.8,high
A00095,workstation,ot,high,confidential,1,0,6.5,0.384,0,0,0,0,5,5,25,3,partial,53.3,high
A00096,web_app,user_lan,high,restricted,1,0,6.6,0.204,0,0,0,0,421,7,21,3,none,88.8,critical
A00097,workstation,user_lan,low,confidential,0,0,7.6,0.757,0,0,0,0,14,2,7,1,full,0.6,low
A00098,server,user_lan,critical,confidential,1,1,6.0,0.205,0,0,0,0,27,13,17,5,partial,80.2,critical
A00099,server,cloud,low,confidential,1,1,7.7,0.109,0,0,0,0,26,17,22,5,full,64.1,high
A00100,firewall,cloud,low,public,1,0,5.1,0.282,0,0,0,0,30,16,27,7,none,71.6,high
A00101,cloud_vm,user_lan,critical,confidential,1,0,3.9,0.44,0,0,0,0,329,12,23,9,partial,91.6,critical
A00102,web_app,server_lan,high,internal,0,0,3.6,0.336,0,0,0,0,8,4,11,0,full,11.2,low
A00103,workstation,dmz,critical,confidential,1,1,4.1,0.413,1,0,211,1,58,10,15,6,full,80.7,critical
A00104,firewall,user_lan,high,public,0,1,7.8,0.129,0,0,0,0,51,3,6,2,full,27.4,medium
A00105,cloud_vm,cloud,high,internal,1,1,6.5,0.407,0,0,0,0,4,8,18,4,partial,70.6,high
A00106,web_app,user_lan,low,confidential,0,0,7.2,0.286,0,0,0,0,9,7,8,1,full,14.9,low
A00107,workstation,server_lan,medium,internal,0,0,7.4,0.305,0,0,0,0,114,3,6,0,full,6.6,low
A00108,workstation,server_lan,critical,internal,0,0,3.7,0.342,0,0,0,0,24,4,6,1,partial,24.5,medium
A00109,server,user_lan,high,internal,0,1,4.0,0.206,0,0,0,0,52,5,6,4,full,14.0,low
A00110,cloud_vm,cloud,medium,restricted,1,0,3.2,0.382,0,0,0,0,43,11,29,4,full,57.1,high
