url_length,num_dots,num_hyphens,num_digits,num_subdomains,num_params,domain_age_days,has_ip,has_at_symbol,https,shortened,brand_in_subdomain,host_entropy,tld,is_phishing
62,3,0,3,1,0,726,0,0,1,0,0,3.177,com,0
28,2,0,2,2,0,2032,0,0,1,0,0,3.037,com,0
31,1,1,1,1,0,1851,0,0,1,0,0,3.529,com,0
22,3,1,5,0,2,983,0,0,1,0,0,2.37,com,0
122,2,1,1,1,0,1121,0,0,1,0,0,2.382,com,0
39,4,1,4,1,2,323,0,1,0,0,0,3.341,info,1
38,3,0,3,3,0,1229,0,0,1,0,0,3.164,org,0
42,3,1,1,0,0,1147,0,0,1,0,0,2.498,com,0
72,4,0,1,1,1,1604,0,0,1,0,1,2.689,com,0
58,1,3,2,3,1,199,1,0,1,0,0,3.058,top,1
75,4,3,3,1,3,505,0,0,1,0,1,4.09,tk,1
33,2,0,0,1,0,1783,0,0,1,0,0,2.633,com,0
19,1,0,1,2,0,4644,0,0,1,0,0,2.542,com,0
71,2,1,2,1,0,676,0,0,1,0,0,3.677,com,0
16,4,1,1,1,2,398,0,0,1,0,0,2.404,fr,0
52,1,0,1,2,2,1499,0,0,1,0,0,2.845,fr,0
70,2,0,2,1,3,2740,0,0,1,0,0,3.145,com,0
39,5,2,5,2,2,325,0,0,1,0,0,3.297,xyz,1
50,10,0,4,7,3,116,1,0,1,0,0,3.974,com,1
49,3,0,1,0,1,1488,0,0,1,0,0,3.246,com,0
47,2,2,2,2,1,1098,0,0,1,1,0,3.173,net,0
92,1,2,3,1,1,884,0,0,1,0,0,2.852,com,0
67,2,1,2,1,2,996,0,0,1,0,1,2.77,com,0
72,1,1,4,0,0,2098,0,0,1,0,0,3.547,fr,0
59,3,2,2,2,3,1249,0,0,1,0,0,3.299,com,0
29,1,0,1,1,0,1905,0,0,1,0,0,3.371,edu,0
66,2,0,0,0,1,954,0,0,1,0,0,2.474,edu,0
44,3,1,0,0,1,1499,0,0,1,0,0,2.839,net,0
59,4,1,0,1,1,679,0,0,1,0,0,2.522,net,0
66,1,1,2,1,0,1116,0,0,1,0,0,3.111,org,0
69,3,0,0,0,0,890,0,0,1,0,0,2.718,net,0
45,3,1,5,0,1,139,1,0,1,1,0,3.935,com,1
50,1,0,1,2,0,1413,0,0,1,0,0,3.245,com,0
115,1,4,4,2,1,138,0,1,1,0,0,3.666,xyz,1
28,1,1,1,2,1,949,0,0,1,0,0,2.597,com,0
54,1,0,3,1,0,715,1,0,1,0,0,2.879,net,0
51,1,1,3,2,1,1950,0,0,1,1,0,3.187,gov,0
108,5,3,3,4,3,159,0,1,0,0,0,3.42,zip,1
84,1,0,1,1,0,1191,0,0,1,0,0,2.454,com,0
72,2,3,4,1,0,241,0,0,1,0,1,4.011,net,1
72,3,2,2,4,1,301,0,0,1,0,0,3.22,fr,0
47,3,3,8,2,2,203,1,0,0,0,0,3.586,xyz,1
53,1,3,2,0,1,2037,0,0,1,0,0,2.742,com,0
37,1,0,0,2,1,1842,0,0,1,0,0,3.241,org,0
74,4,0,3,3,0,1264,0,0,1,0,0,2.592,org,0
64,1,2,0,1,1,1405,0,0,1,0,0,3.521,com,0
57,1,1,1,1,0,539,0,0,1,0,1,3.37,com,0
64,2,0,1,1,0,2650,0,0,1,1,0,2.498,fr,0
59,3,1,1,0,0,838,0,0,1,0,0,2.892,com,0
75,2,1,3,2,0,823,0,0,1,0,0,2.844,com,0
68,1,0,3,3,0,2351,0,0,1,0,0,3.565,gov,0
68,2,5,5,0,1,67,0,0,1,0,0,4.051,tk,1
44,1,0,2,0,1,1465,0,0,1,0,0,2.368,net,0
77,3,1,1,1,0,696,0,0,1,0,0,2.946,com,0
46,1,1,2,2,2,1569,0,0,1,0,0,3.005,com,0
79,3,0,4,0,0,1211,0,0,1,0,0,3.529,net,0
56,6,0,1,0,1,1071,0,0,1,0,0,3.449,com,0
32,1,2,1,2,2,363,0,0,1,0,0,2.986,click,1
42,2,1,1,1,1,978,0,0,1,0,0,2.6,com,0
15,1,0,2,0,0,1172,1,0,1,0,0,3.321,net,0
55,1,0,1,1,1,1102,0,0,1,0,0,3.206,net,0
42,1,0,1,0,1,522,0,0,1,0,0,3.268,com,0
72,1,0,3,2,4,1184,0,0,0,0,0,3.418,com,0
49,3,0,0,1,1,1478,0,0,1,0,0,4.008,com,0
60,3,0,2,0,3,665,0,0,1,0,0,2.883,net,0
29,2,0,1,2,2,1809,0,0,1,0,0,2.734,fr,0
36,2,0,2,3,0,1128,1,0,1,0,0,2.851,com,0
60,2,1,2,1,1,2343,0,0,1,0,0,2.537,gov,0
48,3,0,0,2,0,518,0,0,1,0,0,3.117,fr,0
52,1,0,0,2,1,615,0,0,1,0,0,2.684,com,0
58,1,1,6,0,0,1865,0,0,1,0,0,3.399,com,0
41,2,2,1,1,0,1029,0,0,1,0,0,2.903,fr,0
52,3,1,1,1,1,1282,0,0,1,0,0,3.832,com,0
34,3,1,4,2,0,381,0,0,1,0,0,2.688,com,0
31,3,2,2,1,1,1029,0,0,1,1,0,2.52,net,0
38,1,0,0,0,1,1190,0,0,1,0,0,3.405,com,0
33,2,0,1,2,0,2237,1,0,0,0,0,2.153,fr,0
27,2,0,1,0,1,1749,0,0,1,0,1,3.079,fr,0
30,6,1,0,2,1,714,0,0,1,1,0,3.609,com,0
67,2,0,2,2,1,1155,0,0,1,0,1,2.707,net,0
52,7,1,7,2,1,299,0,0,1,1,1,3.79,xyz,1
48,6,1,0,0,2,1460,0,1,1,0,0,3.292,com,0
45,3,1,1,1,0,2044,0,0,0,0,0,2.96,com,0
47,1,2,5,3,2,291,0,0,1,0,0,4.228,xyz,1
58,2,1,2,3,1,2070,0,0,1,0,0,2.874,com,0
59,3,3,3,0,0,2239,0,0,0,0,0,2.233,com,0
71,1,2,2,2,2,692,0,0,1,0,1,4.007,top,1
57,1,0,4,1,0,2005,0,0,0,0,0,3.329,com,0
45,1,0,0,0,2,492,1,0,1,0,0,3.232,net,0
48,1,0,2,1,1,779,0,0,1,0,0,3.007,com,0
99,1,2,2,1,2,401,1,0,1,0,0,3.419,tk,1
37,4,2,4,1,0,54,0,0,1,0,0,4.386,xyz,1
54,1,1,4,1,2,1415,0,0,1,0,0,3.392,edu,0
56,2,2,0,1,0,856,0,0,1,0,0,3.214,net,0
47,1,0,3,0,1,193,0,0,0,0,0,3.263,com,0
67,3,1,1,3,0,386,0,0,1,0,0,3.255,gov,0
79,3,1,4,1,1,1896,0,0,1,0,0,2.888,org,0
32,3,1,0,4,0,1048,0,0,1,1,0,2.943,com,0
45,1,2,1,2,0,1917,0,0,0,0,0,2.503,com,0
62,5,1,0,0,4,2231,0,0,1,0,0,3.251,gov,0
64,1,1,1,2,1,1134,0,0,1,0,0,2.931,com,0
74,2,2,1,2,0,2477,0,0,1,0,0,3.101,com,0
111,2,0,5,5,4,279,0,0,1,1,0,3.309,info,1
90,3,2,2,2,3,207,0,0,1,1,0,3.576,com,0
67,1,1,1,0,1,2628,0,0,0,0,0,3.239,net,0
35,1,0,3,0,3,1134,0,0,1,0,0,2.925,fr,0
18,1,1,2,2,0,236,0,0,0,0,0,2.384,fr,0
54,2,0,0,0,3,680,1,0,1,0,0,2.85,org,0
81,2,3,3,3,3,505,0,0,0,0,0,3.077,xyz,1
80,2,1,1,0,0,740,0,0,1,0,0,2.929,org,0
62,2,0,2,1,2,858,0,0,1,0,0,3.145,org,0
64,1,0,2,0,0,714,0,0,1,0,0,4.073,com,0
32,1,0,0,0,2,1524,0,0,1,0,0,3.121,com,0
60,2,0,2,0,0,1679,0,0,0,0,0,3.138,net,0
70,2,0,2,3,2,786,0,0,1,0,0,3.619,com,0
12,1,0,2,0,1,1338,0,0,1,0,0,2.242,gov,0
66,2,0,2,2,1,718,0,1,1,0,0,3.926,com,0
26,1,1,3,1,0,1135,0,0,1,0,0,3.289,net,0
89,2,1,5,1,3,138,0,0,0,0,0,2.996,net,1
57,2,3,3,0,0,2626,0,0,1,0,0,4.077,com,0
38,3,1,1,0,1,688,0,0,0,0,0,3.27,com,0
54,1,0,2,2,1,1058,0,0,1,0,0,2.912,com,0
24,2,0,1,1,0,892,0,0,1,0,0,2.325,gov,0
80,3,0,2,1,2,1236,0,0,1,0,0,2.6,com,0
21,2,0,1,2,3,1441,0,0,1,1,0,2.839,fr,0
85,4,0,1,1,2,1141,0,0,1,0,0,3.055,org,0
16,2,1,3,1,3,1666,0,0,1,0,0,2.764,com,0
31,1,0,3,0,1,1625,0,0,1,0,0,2.953,com,0
73,1,1,6,1,1,243,0,0,0,1,0,2.087,xyz,1
49,1,0,2,1,1,1744,0,0,1,0,0,3.438,com,0
67,5,0,2,2,3,1303,0,0,0,0,0,2.992,com,0
