text_length,word_count,avg_word_length,max_token_length,uppercase_ratio,digit_ratio,punct_ratio,line_count,non_ascii_ratio,zero_width_count,url_count,trigger_keyword_count,role_keyword_count,delimiter_marker_count,has_base64_blob,carrier,language,label
152,29,4.276,9,0.0566,0.0395,0.0789,4,0.0,0,0,1,0,0,0,code_comment,en,benign
191,29,5.586,16,0.0672,0.0366,0.1099,4,0.0,0,0,0,0,0,0,api_response,en,injection
102,17,5.0,13,0.0244,0.0,0.0294,3,0.0,0,0,2,0,0,0,document,fr,benign
234,29,7.069,16,0.0714,0.0299,0.188,4,0.0897,21,0,0,0,0,0,api_response,en,injection
211,33,5.394,25,0.0308,0.1896,0.0379,3,0.0,0,0,0,0,0,0,product_review,en,injection
287,44,5.477,13,0.1111,0.0557,0.0592,7,0.0836,0,0,0,0,0,0,support_ticket,fr,injection
223,30,6.4,32,0.0793,0.0359,0.0897,8,0.0,0,1,0,0,0,0,calendar_invite,en,injection
94,17,4.529,8,0.04,0.0,0.0213,3,0.0,0,0,0,0,0,0,web_page,en,benign
221,31,6.129,21,0.1342,0.0498,0.1357,4,0.0,0,0,0,0,0,0,api_response,en,injection
337,54,5.204,14,0.0357,0.1484,0.0208,7,0.0,0,0,0,0,0,0,document,fr,injection
241,36,5.639,14,0.1243,0.0166,0.0581,7,0.0,0,0,1,2,0,0,document,en,injection
192,32,4.938,11,0.068,0.0104,0.0469,7,0.0,0,0,0,0,0,0,document,en,benign
269,38,6.079,14,0.0275,0.0223,0.026,3,0.0,0,0,0,0,0,0,rag_chunk,fr,benign
216,34,5.353,11,0.0238,0.0,0.0648,6,0.0,0,0,0,0,0,0,chat_log,en,injection
136,20,5.8,16,0.0175,0.0,0.0147,3,0.0,0,0,0,0,0,0,document,en,benign
108,15,6.267,11,0.0222,0.0,0.037,2,0.0,0,0,0,1,0,0,chat_log,en,benign
296,44,5.682,32,0.0648,0.0473,0.0642,7,0.0,0,1,0,0,0,0,support_ticket,en,injection
213,34,5.294,17,0.05,0.0282,0.0657,4,0.0,0,0,0,0,0,0,code_comment,en,injection
136,23,4.913,12,0.0273,0.0,0.0221,3,0.0,0,0,4,0,0,0,web_page,en,benign
161,20,7.0,22,0.0909,0.0497,0.0683,8,0.0,0,0,0,0,0,0,calendar_invite,en,benign
87,13,5.769,10,0.0274,0.0,0.023,2,0.0,0,0,1,0,0,0,chat_log,en,benign
353,49,6.204,16,0.1259,0.0,0.051,4,0.0,0,0,1,2,2,0,web_page,fr,injection
317,49,5.429,14,0.0438,0.0126,0.0347,7,0.0,0,0,0,0,0,0,document,fr,injection
163,18,8.111,35,0.0248,0.0,0.1534,6,0.0,0,0,0,0,0,0,html_metadata,en,benign
224,28,6.821,18,0.0191,0.0179,0.1339,5,0.0,0,0,1,1,0,0,html_metadata,en,injection
97,13,6.462,13,0.0385,0.0206,0.0412,3,0.0,0,0,2,3,0,0,product_review,en,benign
205,28,6.357,21,0.0063,0.0,0.0878,4,0.1268,0,0,0,0,0,0,tool_output,en,injection
180,21,7.571,43,0.0634,0.0,0.0944,5,0.0,0,1,0,0,0,0,email,en,injection
230,32,6.125,12,0.0753,0.0174,0.0261,7,0.0,0,0,1,0,0,0,document,en,benign
104,15,5.933,12,0.061,0.0288,0.0385,3,0.0,0,0,2,0,0,0,web_page,en,benign
262,25,9.52,50,0.038,0.0038,0.2023,6,0.0,0,1,0,0,0,0,html_metadata,en,injection
303,42,6.167,14,0.0718,0.0462,0.1155,7,0.0759,23,0,0,1,0,0,support_ticket,en,injection
180,27,5.667,12,0.0136,0.0111,0.0222,3,0.0,0,0,6,1,0,0,product_review,en,benign
85,13,5.538,10,0.0282,0.0,0.0118,3,0.0,0,0,1,0,0,0,document,en,benign
286,47,5.043,13,0.0435,0.049,0.0524,7,0.0874,0,0,0,0,0,0,support_ticket,fr,injection
275,41,5.634,12,0.1296,0.0,0.0545,11,0.0,0,0,1,1,2,0,email,pt,injection
86,13,5.692,10,0.0278,0.0,0.0233,2,0.0,0,0,1,0,0,0,chat_log,en,benign
290,43,5.698,10,0.0684,0.0138,0.0241,7,0.0,0,0,1,0,0,0,document,en,injection
222,32,5.844,12,0.0387,0.0,0.027,10,0.0,0,0,0,0,0,0,email,pt,benign
236,34,5.882,12,0.0517,0.0593,0.0466,7,0.0,0,0,0,0,0,0,support_ticket,pt,benign
105,15,6.0,12,0.0241,0.019,0.0476,3,0.0,0,0,3,0,0,0,product_review,en,benign
117,18,5.5,11,0.1071,0.0769,0.0427,3,0.0,0,0,0,0,0,0,support_ticket,fr,benign
214,31,5.806,12,0.0402,0.0,0.028,10,0.0,0,0,0,0,0,0,email,pt,benign
