text_length,word_count,avg_word_length,max_token_length,uppercase_ratio,digit_ratio,punct_ratio,line_count,non_ascii_ratio,zero_width_count,url_count,trigger_keyword_count,role_keyword_count,delimiter_marker_count,has_base64_blob,label,family_l2,technique_l3,target_delta,objective,domain,multi_turn,obfuscation,language,carrier,template_group,source
152,29,4.276,9,0.0566,0.0395,0.0789,4,0.0,0,0,1,0,0,0,benign,,,,,generic,0,none,en,code_comment,syn_benign,synthetic
102,17,5.0,13,0.0244,0.0,0.0294,3,0.0,0,0,2,0,0,0,benign,,,,,generic,0,none,fr,document,syn_benign,synthetic
94,17,4.529,8,0.04,0.0,0.0213,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,web_page,syn_benign,synthetic
192,32,4.938,11,0.068,0.0104,0.0469,7,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,document,syn_benign,synthetic
269,38,6.079,14,0.0275,0.0223,0.026,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,fr,rag_chunk,syn_benign,synthetic
136,20,5.8,16,0.0175,0.0,0.0147,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,document,syn_benign,synthetic
108,15,6.267,11,0.0222,0.0,0.037,2,0.0,0,0,0,1,0,0,benign,,,,,generic,0,none,en,chat_log,syn_benign,synthetic
136,23,4.913,12,0.0273,0.0,0.0221,3,0.0,0,0,4,0,0,0,benign,,,,,generic,0,none,en,web_page,syn_benign,synthetic
161,20,7.0,22,0.0909,0.0497,0.0683,8,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,calendar_invite,syn_benign,synthetic
87,13,5.769,10,0.0274,0.0,0.023,2,0.0,0,0,1,0,0,0,benign,,,,,generic,0,none,en,chat_log,syn_benign,synthetic
163,18,8.111,35,0.0248,0.0,0.1534,6,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,html_metadata,syn_benign,synthetic
97,13,6.462,13,0.0385,0.0206,0.0412,3,0.0,0,0,2,3,0,0,benign,,,,,generic,0,none,en,product_review,syn_benign,synthetic
230,32,6.125,12,0.0753,0.0174,0.0261,7,0.0,0,0,1,0,0,0,benign,,,,,generic,0,none,en,document,syn_benign,synthetic
104,15,5.933,12,0.061,0.0288,0.0385,3,0.0,0,0,2,0,0,0,benign,,,,,generic,0,none,en,web_page,syn_benign,synthetic
180,27,5.667,12,0.0136,0.0111,0.0222,3,0.0,0,0,6,1,0,0,benign,,,,,generic,0,none,en,product_review,syn_benign,synthetic
85,13,5.538,10,0.0282,0.0,0.0118,3,0.0,0,0,1,0,0,0,benign,,,,,generic,0,none,en,document,syn_benign,synthetic
86,13,5.692,10,0.0278,0.0,0.0233,2,0.0,0,0,1,0,0,0,benign,,,,,generic,0,none,en,chat_log,syn_benign,synthetic
222,32,5.844,12,0.0387,0.0,0.027,10,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,pt,email,syn_benign,synthetic
236,34,5.882,12,0.0517,0.0593,0.0466,7,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,pt,support_ticket,syn_benign,synthetic
105,15,6.0,12,0.0241,0.019,0.0476,3,0.0,0,0,3,0,0,0,benign,,,,,generic,0,none,en,product_review,syn_benign,synthetic
