text_length,word_count,avg_word_length,max_token_length,uppercase_ratio,digit_ratio,punct_ratio,line_count,non_ascii_ratio,zero_width_count,url_count,trigger_keyword_count,role_keyword_count,delimiter_marker_count,has_base64_blob,carrier,language,technique
191,29,5.586,16,0.0672,0.0366,0.1099,4,0.0,0,0,0,0,0,0,api_response,en,tool_abuse
234,29,7.069,16,0.0714,0.0299,0.188,4,0.0897,21,0,0,0,0,0,api_response,en,misinformation_seed
211,33,5.394,25,0.0308,0.1896,0.0379,3,0.0,0,0,0,0,0,0,product_review,en,conditional_trigger
287,44,5.477,13,0.1111,0.0557,0.0592,7,0.0836,0,0,0,0,0,0,support_ticket,fr,fake_authority
223,30,6.4,32,0.0793,0.0359,0.0897,8,0.0,0,1,0,0,0,0,calendar_invite,en,data_exfiltration
221,31,6.129,21,0.1342,0.0498,0.1357,4,0.0,0,0,0,0,0,0,api_response,en,staged_multistep
337,54,5.204,14,0.0357,0.1484,0.0208,7,0.0,0,0,0,0,0,0,document,fr,role_hijack
241,36,5.639,14,0.1243,0.0166,0.0581,7,0.0,0,0,1,2,0,0,document,en,fake_authority
216,34,5.353,11,0.0238,0.0,0.0648,6,0.0,0,0,0,0,0,0,chat_log,en,staged_multistep
296,44,5.682,32,0.0648,0.0473,0.0642,7,0.0,0,1,0,0,0,0,support_ticket,en,data_exfiltration
213,34,5.294,17,0.05,0.0282,0.0657,4,0.0,0,0,0,0,0,0,code_comment,en,conditional_trigger
353,49,6.204,16,0.1259,0.0,0.051,4,0.0,0,0,1,2,2,0,web_page,fr,delimiter_injection
317,49,5.429,14,0.0438,0.0126,0.0347,7,0.0,0,0,0,0,0,0,document,fr,tool_abuse
224,28,6.821,18,0.0191,0.0179,0.1339,5,0.0,0,0,1,1,0,0,html_metadata,en,fake_authority
205,28,6.357,21,0.0063,0.0,0.0878,4,0.1268,0,0,0,0,0,0,tool_output,en,data_exfiltration
180,21,7.571,43,0.0634,0.0,0.0944,5,0.0,0,1,0,0,0,0,email,en,output_manipulation
262,25,9.52,50,0.038,0.0038,0.2023,6,0.0,0,1,0,0,0,0,html_metadata,en,output_manipulation
303,42,6.167,14,0.0718,0.0462,0.1155,7,0.0759,23,0,0,1,0,0,support_ticket,en,role_hijack
286,47,5.043,13,0.0435,0.049,0.0524,7,0.0874,0,0,0,0,0,0,support_ticket,fr,system_prompt_leak
275,41,5.634,12,0.1296,0.0,0.0545,11,0.0,0,0,1,1,2,0,email,pt,delimiter_injection
290,43,5.698,10,0.0684,0.0138,0.0241,7,0.0,0,0,1,0,0,0,document,en,conditional_trigger
319,38,7.395,31,0.0408,0.0188,0.094,3,0.0533,17,1,0,0,0,0,rag_chunk,fr,data_exfiltration
280,38,6.289,17,0.039,0.0,0.0286,10,0.0,0,0,0,0,0,0,email,pt,conditional_trigger
332,42,6.905,39,0.0187,0.0,0.0663,3,0.0,0,1,0,0,0,0,web_page,fr,output_manipulation
247,42,4.833,13,0.0761,0.0202,0.0567,8,0.0,0,0,0,0,0,0,pdf_text,en,tool_abuse
234,36,5.5,16,0.011,0.0,0.0684,6,0.0,0,0,0,0,0,0,chat_log,en,conditional_trigger
154,20,6.7,16,0.024,0.0065,0.0455,4,0.0,0,0,1,1,0,0,support_ticket,en,fake_authority
276,40,5.825,32,0.0457,0.0,0.0507,10,0.0,0,1,0,0,0,0,email,pt,data_exfiltration
323,41,6.878,27,0.0336,0.0,0.0433,3,0.0,0,1,1,0,0,0,web_page,fr,data_exfiltration
208,28,6.429,16,0.0978,0.2837,0.1394,6,0.0,0,0,0,0,0,0,api_response,en,delimiter_injection
192,29,5.552,14,0.0336,0.0104,0.0521,7,0.0,0,0,0,0,0,0,email,en,system_prompt_leak
204,24,7.542,36,0.0201,0.0,0.1569,6,0.0,0,1,0,0,0,0,html_metadata,en,conditional_trigger
245,31,6.839,17,0.0352,0.0082,0.0449,7,0.0,0,0,0,0,0,0,email,fr,conditional_trigger
246,43,4.721,20,0.0206,0.0081,0.0285,3,0.0,0,0,0,0,0,0,product_review,en,data_exfiltration
162,18,8.0,43,0.0565,0.0062,0.1111,4,0.0,0,1,0,0,0,0,support_ticket,en,output_manipulation
165,26,5.346,26,0.0417,0.0606,0.0485,3,0.0,0,0,1,0,1,0,rag_chunk,en,data_exfiltration
