text_length,word_count,avg_word_length,max_token_length,uppercase_ratio,digit_ratio,punct_ratio,line_count,non_ascii_ratio,zero_width_count,url_count,trigger_keyword_count,role_keyword_count,delimiter_marker_count,has_base64_blob,label,family_l2,technique_l3,target_delta,objective,domain,multi_turn,obfuscation,language,carrier,template_group,source
92,4,22.25,76,0.4875,0.087,0.0109,1,0.0,0,0,0,0,0,1,injection,instruction_reformulation,base_n_encoding,delta2,,medical,0,base_n_encoding,en,clinical_prompt,base_n_encoding__s0,transform_aug
92,4,22.25,76,0.4875,0.087,0.0109,1,0.0,0,0,0,0,0,1,injection,instruction_reformulation,base_n_encoding,delta2,,medical,0,base_n_encoding,en,clinical_prompt,base_n_encoding__s0,transform_aug
92,4,22.25,76,0.4875,0.087,0.0109,1,0.0,0,0,0,0,0,1,injection,instruction_reformulation,base_n_encoding,delta2,,medical,0,base_n_encoding,en,clinical_prompt,base_n_encoding__s0,transform_aug
80,4,19.25,64,0.3824,0.0875,0.025,1,0.0,0,0,0,0,0,1,injection,instruction_reformulation,base_n_encoding,delta2,,medical,0,base_n_encoding,en,clinical_prompt,base_n_encoding__s1,transform_aug
80,4,19.25,64,0.3824,0.0875,0.025,1,0.0,0,0,0,0,0,1,injection,instruction_reformulation,base_n_encoding,delta2,,medical,0,base_n_encoding,en,clinical_prompt,base_n_encoding__s1,transform_aug
80,4,19.25,64,0.3824,0.0875,0.025,1,0.0,0,0,0,0,0,1,injection,instruction_reformulation,base_n_encoding,delta2,,medical,0,base_n_encoding,en,clinical_prompt,base_n_encoding__s1,transform_aug
88,4,21.25,72,0.3649,0.0909,0.0341,1,0.0,0,0,0,0,0,1,injection,instruction_reformulation,base_n_encoding,delta2,,medical,0,base_n_encoding,en,clinical_prompt,base_n_encoding__s2,transform_aug
88,4,21.25,72,0.3649,0.0909,0.0341,1,0.0,0,0,0,0,0,1,injection,instruction_reformulation,base_n_encoding,delta2,,medical,0,base_n_encoding,en,clinical_prompt,base_n_encoding__s2,transform_aug
88,4,21.25,72,0.3649,0.0909,0.0341,1,0.0,0,0,0,0,0,1,injection,instruction_reformulation,base_n_encoding,delta2,,medical,0,base_n_encoding,en,clinical_prompt,base_n_encoding__s2,transform_aug
80,4,19.25,64,0.3582,0.0875,0.0375,1,0.0,0,0,0,0,0,1,injection,instruction_reformulation,base_n_encoding,delta2,,medical,0,base_n_encoding,en,clinical_prompt,base_n_encoding__s3,transform_aug
80,4,19.25,64,0.3582,0.0875,0.0375,1,0.0,0,0,0,0,0,1,injection,instruction_reformulation,base_n_encoding,delta2,,medical,0,base_n_encoding,en,clinical_prompt,base_n_encoding__s3,transform_aug
80,4,19.25,64,0.3582,0.0875,0.0375,1,0.0,0,0,0,0,0,1,injection,instruction_reformulation,base_n_encoding,delta2,,medical,0,base_n_encoding,en,clinical_prompt,base_n_encoding__s3,transform_aug
80,4,19.25,64,0.4167,0.025,0.0375,1,0.0,0,0,0,0,0,1,injection,instruction_reformulation,base_n_encoding,delta2,,medical,0,base_n_encoding,en,clinical_prompt,base_n_encoding__s4,transform_aug
80,4,19.25,64,0.4167,0.025,0.0375,1,0.0,0,0,0,0,0,1,injection,instruction_reformulation,base_n_encoding,delta2,,medical,0,base_n_encoding,en,clinical_prompt,base_n_encoding__s4,transform_aug
80,4,19.25,64,0.4167,0.025,0.0375,1,0.0,0,0,0,0,0,1,injection,instruction_reformulation,base_n_encoding,delta2,,medical,0,base_n_encoding,en,clinical_prompt,base_n_encoding__s4,transform_aug
72,4,17.25,56,0.4754,0.0833,0.0278,1,0.0,0,0,0,0,0,1,injection,instruction_reformulation,base_n_encoding,delta2,,medical,0,base_n_encoding,en,clinical_prompt,base_n_encoding__s5,transform_aug
72,4,17.25,56,0.4754,0.0833,0.0278,1,0.0,0,0,0,0,0,1,injection,instruction_reformulation,base_n_encoding,delta2,,medical,0,base_n_encoding,en,clinical_prompt,base_n_encoding__s5,transform_aug
72,4,17.25,56,0.4754,0.0833,0.0278,1,0.0,0,0,0,0,0,1,injection,instruction_reformulation,base_n_encoding,delta2,,medical,0,base_n_encoding,en,clinical_prompt,base_n_encoding__s5,transform_aug
80,4,19.25,64,0.5224,0.0875,0.0375,1,0.0,0,0,0,0,0,1,injection,instruction_reformulation,base_n_encoding,delta2,,medical,0,base_n_encoding,en,clinical_prompt,base_n_encoding__s6,transform_aug
80,4,19.25,64,0.5224,0.0875,0.0375,1,0.0,0,0,0,0,0,1,injection,instruction_reformulation,base_n_encoding,delta2,,medical,0,base_n_encoding,en,clinical_prompt,base_n_encoding__s6,transform_aug
80,4,19.25,64,0.5224,0.0875,0.0375,1,0.0,0,0,0,0,0,1,injection,instruction_reformulation,base_n_encoding,delta2,,medical,0,base_n_encoding,en,clinical_prompt,base_n_encoding__s6,transform_aug
84,4,20.25,68,0.4085,0.0833,0.0357,1,0.0,0,0,0,0,0,1,injection,instruction_reformulation,base_n_encoding,delta2,,medical,0,base_n_encoding,en,clinical_prompt,base_n_encoding__s7,transform_aug
84,4,20.25,68,0.4085,0.0833,0.0357,1,0.0,0,0,0,0,0,1,injection,instruction_reformulation,base_n_encoding,delta2,,medical,0,base_n_encoding,en,clinical_prompt,base_n_encoding__s7,transform_aug
84,4,20.25,68,0.4085,0.0833,0.0357,1,0.0,0,0,0,0,0,1,injection,instruction_reformulation,base_n_encoding,delta2,,medical,0,base_n_encoding,en,clinical_prompt,base_n_encoding__s7,transform_aug
57,8,6.25,10,0.0222,0.0,0.0877,1,0.0,0,0,0,0,0,0,injection,instruction_reformulation,garbled_text,delta2,,medical,0,garbled_text,en,clinical_prompt,garbled_text__s0,transform_aug
57,8,6.25,10,0.0222,0.0,0.0877,1,0.0,0,0,0,0,0,0,injection,instruction_reformulation,garbled_text,delta2,,medical,0,garbled_text,en,clinical_prompt,garbled_text__s0,transform_aug
57,6,8.667,11,0.0213,0.0,0.0877,1,0.0,0,0,0,0,0,0,injection,instruction_reformulation,garbled_text,delta2,,medical,0,garbled_text,en,clinical_prompt,garbled_text__s0,transform_aug
47,6,7.0,15,0.0263,0.0,0.0851,1,0.0,0,0,0,0,0,0,injection,instruction_reformulation,garbled_text,delta2,,medical,0,garbled_text,en,clinical_prompt,garbled_text__s1,transform_aug
47,7,5.857,11,0.027,0.0,0.0851,1,0.0,0,0,0,0,0,0,injection,instruction_reformulation,garbled_text,delta2,,medical,0,garbled_text,en,clinical_prompt,garbled_text__s1,transform_aug
