char_length,num_words,num_digits,uppercase_ratio,num_exclamation,num_currency,num_free_keywords,num_urgent_keywords,has_url,has_phone,avg_word_length,language,is_spam
76,20,1,0.169,0,0,0,0,0,0,4.94,fr,0
116,12,0,0.313,0,0,0,0,0,0,4.43,fr,0
117,26,3,0.509,2,2,2,2,0,1,4.61,fr,1
26,11,4,0.036,0,0,0,0,1,0,4.88,fr,0
145,6,8,0.644,3,0,1,1,1,1,5.11,fr,1
178,3,4,0.48,2,0,3,1,0,0,5.56,en,1
48,18,0,0.1,1,0,0,0,1,0,5.87,en,0
149,27,2,0.112,0,0,0,0,0,0,5.59,en,0
115,30,5,0.144,0,0,0,0,0,0,5.01,fr,0
46,14,0,0.072,0,0,1,0,1,0,3.89,fr,0
60,40,0,0.115,0,0,1,0,0,0,4.22,fr,0
153,30,5,0.323,6,1,3,1,0,0,5.52,fr,1
100,20,5,0.361,3,1,1,3,1,0,6.12,en,1
218,19,5,0.468,5,0,1,2,1,0,4.87,fr,1
133,28,10,0.313,1,0,1,3,0,1,5.62,fr,1
144,37,7,0.441,1,0,3,4,1,1,6.44,fr,1
142,39,8,0.202,3,2,4,5,1,1,3.7,en,1
113,28,4,0.285,3,2,2,4,1,0,5.38,fr,1
71,24,0,0.105,0,0,0,1,0,0,4.34,fr,0
121,52,9,0.428,1,2,1,2,1,1,5.76,fr,1
120,16,8,0.209,4,0,4,3,1,0,5.91,fr,1
121,21,0,0.091,0,0,0,0,0,0,5.09,en,0
109,14,2,0.311,0,0,0,0,0,0,5.92,en,0
117,19,0,0.298,0,0,0,0,0,0,3.9,en,0
93,22,2,0.272,2,0,0,0,0,0,5.47,fr,0
191,5,2,0.177,1,0,0,1,0,1,5.15,en,0
70,13,1,0.161,0,0,0,0,0,0,4.38,fr,0
101,19,0,0.02,0,0,0,1,0,0,4.89,fr,0
126,19,12,0.538,0,2,1,3,1,1,5.05,fr,1
115,26,1,0.143,1,0,0,0,1,0,5.19,en,0
145,3,1,0.038,1,0,0,0,0,0,4.25,en,0
93,28,12,0.538,3,1,0,3,1,0,4.43,fr,1
95,17,3,0.189,0,0,0,0,0,0,3.31,fr,0
177,22,0,0.028,1,0,0,0,0,0,4.73,fr,0
58,31,6,0.592,5,1,2,1,1,0,4.2,fr,1
133,17,4,0.573,3,0,1,4,1,0,6.65,en,1
65,13,0,0.092,0,0,0,0,0,0,6.29,fr,0
55,22,2,0.258,0,0,0,0,0,0,4.74,fr,0
108,10,2,0.053,1,0,0,0,0,0,4.2,en,0
71,12,3,0.073,1,0,0,0,0,0,3.97,en,0
43,34,1,0.145,0,0,0,0,0,0,5.45,en,0
124,23,8,0.385,6,4,2,2,0,1,5.32,fr,1
98,29,5,0.572,1,3,2,4,0,0,4.82,en,1
