montant_eur,frequence_mensuelle,anciennete_mois,nb_pays,ratio_nuit
73.87,8.9,10.8,1,0.333
117.37,12.3,75.3,1,0.192
76.03,9.6,46.1,1,0.109
71.28,15.4,44.2,2,0.413
81.8,9.2,39.3,2,0.231
92.0,15.0,40.8,1,0.145
28.75,14.7,48.2,3,0.204
50.71,5.7,25.2,1,0.293
59.0,16.7,57.0,1,0.148
84.0,5.6,58.3,1,0.2
63.45,9.0,44.5,1,0.254
75.93,17.3,23.1,1,0.018
80.0,11.7,41.3,2,0.07
101.01,13.8,55.8,2,0.023
132.33,7.0,46.1,1,0.115
74.4,9.8,33.1,1,0.251
103.51,10.8,30.0,1,0.108
91.42,17.9,85.0,1,0.135
800.29,46.6,2.9,8,0.794
87.15,7.5,30.1,1,0.037
77.54,11.2,47.6,1,0.214
96.63,21.3,14.2,3,0.119
116.54,12.0,60.7,1,0.463
60.92,13.3,111.6,1,0.179
83.56,11.4,41.3,1,0.142
650.49,77.9,1.4,9,0.81
76.48,11.5,61.7,1,0.528
71.09,14.1,33.7,1,0.243
99.83,13.5,42.3,2,0.096
56.66,6.3,64.7,1,0.569
92.02,15.4,72.3,1,0.025
91.69,13.3,62.3,1,0.425
55.26,15.2,62.0,1,0.15
55.87,6.1,57.0,2,0.426
100.96,13.5,53.6,1,0.098
86.57,15.6,67.4,1,0.212
98.76,12.2,53.2,1,0.231
106.65,4.7,41.0,2,0.153
64.03,2.8,37.3,1,0.058
76.08,20.3,15.6,1,0.222
103.19,9.4,66.2,3,0.159
53.44,11.2,41.6,1,0.106
623.64,49.6,1.6,11,0.747
43.85,14.1,37.6,1,0.441
112.48,13.8,53.4,1,0.162
49.53,10.9,55.9,2,0.146
129.92,6.1,43.6,1,0.095
59.47,16.5,44.2,1,0.174
37.93,3.7,80.2,1,0.234
75.91,11.8,81.6,4,0.2
101.96,10.7,52.7,1,0.301
43.32,13.0,37.9,1,0.308
48.11,12.9,18.1,3,0.127
599.32,66.9,1.2,11,0.907
109.78,8.9,33.9,2,0.273
63.63,12.6,68.0,1,0.097
43.41,13.4,31.1,4,0.054
76.65,11.3,72.3,3,0.224
113.43,9.1,43.9,1,0.574
91.15,16.3,71.8,1,0.222
110.56,17.2,84.4,1,0.277
65.23,14.7,26.3,3,0.161
91.79,14.7,32.9,1,0.125
52.58,8.2,40.0,5,0.478
95.88,17.3,27.4,1,0.27
85.8,8.0,25.4,1,0.26
45.8,12.7,60.8,1,0.185
37.82,10.2,46.4,5,0.2
120.04,10.4,38.8,1,0.092
68.26,17.3,30.6,1,0.259
707.14,69.6,2.1,6,0.815
152.63,13.8,53.5,3,0.123
85.94,15.0,60.5,2,0.066
68.63,8.6,27.6,1,0.186
50.1,15.4,59.7,3,0.161
84.41,13.7,58.2,1,0.407
69.29,18.9,22.4,1,0.283
116.58,2.7,1.6,1,0.299
84.07,14.4,39.9,2,0.219
133.23,18.3,35.4,1,0.314
95.64,7.8,51.3,2,0.141
57.36,5.6,1.0,1,0.436
87.23,7.1,39.2,1,0.488
88.92,6.1,32.4,1,0.242
69.73,19.7,27.7,2,0.169
45.63,11.0,1.0,1,0.301
71.63,9.6,99.0,1,0.007
119.48,8.7,84.0,1,0.132
70.13,12.4,36.9,1,0.161
75.22,16.3,58.5,1,0.306
77.15,11.2,63.3,4,0.333
98.58,14.9,27.3,3,0.132
69.62,7.8,23.7,1,0.07
99.44,13.2,24.9,3,0.084
58.67,11.7,68.5,1,0.403
61.77,18.5,73.7,1,0.018
58.92,13.5,26.1,1,0.176
67.84,9.4,18.1,2,0.343
66.76,17.6,52.3,2,0.283
89.99,7.0,37.5,1,0.313
90.72,8.2,83.7,1,0.35
101.79,14.6,62.3,1,0.05
47.81,10.6,54.2,1,0.273
66.76,11.3,38.4,3,0.096
58.08,10.2,44.0,1,0.087
56.84,10.9,44.0,2,0.13
808.92,75.0,0.7,11,0.701
64.01,15.0,29.7,2,0.177
633.64,51.4,2.6,6,0.799
58.52,18.9,87.9,5,0.141
72.09,17.9,73.0,1,0.274
77.57,7.9,83.1,1,0.193
152.85,8.4,60.9,1,0.101
79.87,14.3,22.4,2,0.012
61.87,16.3,49.2,2,0.175
52.32,22.4,54.8,1,0.37
91.16,14.2,41.5,2,0.097
88.79,13.2,76.5,1,0.033
55.07,5.6,57.6,1,0.243
79.58,1.7,42.9,1,0.052
90.32,13.8,52.8,1,0.261
89.14,19.0,64.3,1,0.046
85.5,15.3,67.0,3,0.156
43.57,13.2,53.4,1,0.217
66.12,14.8,40.4,2,0.09
58.35,13.7,27.2,1,0.19
63.65,8.1,70.0,1,0.026
49.39,10.9,65.1,2,0.219
73.34,12.8,79.2,1,0.192
67.9,4.0,65.9,1,0.03
69.84,12.3,36.4,1,0.03
54.0,13.1,46.6,1,0.271
83.26,13.3,53.7,1,0.106
108.18,5.0,26.6,1,0.167
58.67,11.1,55.3,1,0.244
52.19,12.2,65.0,1,0.055
43.82,12.4,13.9,1,0.285
95.4,7.3,35.3,1,0.282
46.93,17.2,15.7,1,0.034
635.94,50.2,2.4,7,0.92
48.05,11.9,50.0,2,0.296
78.66,13.7,29.5,1,0.315
85.48,10.8,42.0,3,0.077
85.47,18.0,22.3,1,0.271
826.83,72.8,0.7,9,0.776
67.19,9.2,73.5,3,0.207
83.96,16.0,13.4,1,0.141
71.81,6.0,48.2,2,0.259
74.44,11.7,46.9,1,0.091
59.68,13.6,43.8,3,0.318
94.66,5.7,9.3,1,0.016
70.92,8.7,81.4,1,0.482
105.07,17.5,53.0,2,0.241
58.05,13.8,49.2,1,0.132
93.45,15.6,48.9,1,0.434
93.58,5.7,52.7,1,0.217
49.36,13.3,10.8,1,0.3
36.82,14.8,44.7,1,0.315
123.09,10.6,73.0,1,0.412
82.26,13.7,53.1,1,0.083
84.48,11.5,43.1,1,0.41
95.78,9.3,48.6,2,0.31
73.12,13.2,39.8,1,0.134
55.33,2.4,5.7,3,0.162
67.52,17.3,25.2,1,0.267
92.17,12.0,54.4,1,0.186
54.41,10.9,54.3,3,0.045
91.36,14.2,48.6,1,0.339
687.41,63.3,1.2,10,0.926
476.75,41.3,0.7,9,0.829
80.77,10.7,84.0,2,0.167
61.96,10.8,86.1,1,0.246
80.31,15.4,51.5,2,0.135
57.43,11.5,51.2,1,0.42
74.86,2.8,55.0,2,0.349
52.89,9.8,55.8,1,0.402
81.69,12.1,77.0,3,0.183
119.33,8.4,50.6,1,0.075
47.45,11.0,18.9,2,0.254
56.03,15.5,31.3,1,0.133
142.94,10.8,67.9,1,0.236
85.82,12.8,63.8,2,0.298
36.06,12.5,53.1,1,0.25
56.25,12.2,95.7,1,0.198
133.21,10.7,59.0,1,0.233
43.23,17.4,69.0,2,0.101
126.92,12.4,69.2,1,0.243
97.78,17.9,41.8,2,0.226
93.31,13.8,37.6,1,0.107
102.9,15.7,47.0,2,0.312
